         16709981 function calls (15665525 primitive calls) in 593.557 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25600    0.080    0.000    0.553    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/distributions/utils.py:144(__get__)
    32000    0.043    0.000    0.477    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/functional.py:1858(softmax)
    77600    0.193    0.000    0.473    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_tensor.py:242(_typed_storage)
     4800    0.115    0.000    0.468    0.000 /root/project/Soter/analytical_model.py:669(get_spatial_size)
   691484    0.437    0.000    0.437    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/modules/module.py:1716(__getattr__)
     3200    0.187    0.000    0.430    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/multiprocessing/process.py:80(__init__)
    32000    0.423    0.000    0.423    0.000 {method 'softmax' of 'torch._C.TensorBase' objects}
    19200    0.034    0.000    0.419    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/functional.py:1489(relu)
    21600    0.030    0.000    0.409    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_tensor.py:35(wrapped)
    14400    0.033    0.000    0.407    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/modules/sparse.py:163(forward)
     4800    0.222    0.000    0.384    0.000 /root/project/Soter/analytical_model.py:653(get_max_temporal_size)
    77600    0.382    0.000    0.382    0.000 {method 'set_' of 'torch._C.TensorBase' objects}
    19200    0.375    0.000    0.375    0.000 {built-in method torch.relu}
    12800    0.020    0.000    0.375    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/distributions/categorical.py:95(logits)
    96000    0.368    0.000    0.368    0.000 {method 'transpose' of 'torch._C.TensorBase' objects}
    14400    0.015    0.000    0.368    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/functional.py:2157(embedding)
   529894    0.366    0.000    0.366    0.000 {method 'size' of 'torch._C.TensorBase' objects}
    39200    0.362    0.000    0.362    0.000 {method 'new_ones' of 'torch._C.TensorBase' objects}
    12800    0.017    0.000    0.355    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/distributions/utils.py:119(probs_to_logits)
        1    0.000    0.000    0.354    0.354 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/fx/experimental/symbolic_shapes.py:3(<module>)
    14400    0.349    0.000    0.349    0.000 {built-in method torch.embedding}
    76800    0.343    0.000    0.343    0.000 {method 'view' of 'torch._C.TensorBase' objects}
  510/410    0.182    0.000    0.330    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
    20800    0.319    0.000    0.319    0.000 {built-in method torch.cat}
      100    0.001    0.000    0.303    0.003 /root/project/Soter/transformer/Optim.py:15(step_and_update_lr)
      100    0.005    0.000    0.299    0.003 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/optim/optimizer.py:464(wrapper)
    77600    0.126    0.000    0.291    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/storage.py:712(_new_wrapped_storage)
    77600    0.289    0.000    0.289    0.000 {method 'new_empty' of 'torch._C.TensorBase' objects}
      100    0.004    0.000    0.280    0.003 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/optim/optimizer.py:70(_use_grad)
        1    0.000    0.000    0.276    0.276 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/utils/_sympy/functions.py:2(<module>)
      100    0.002    0.000    0.275    0.003 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/optim/adam.py:192(step)
     3200    0.010    0.000    0.272    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/concurrent/futures/_base.py:316(__init__)
   253874    0.212    0.000    0.271    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/copy.py:242(_keep_alive)
    18282    0.270    0.000    0.270    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.269    0.269 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/__init__.py:1(<module>)
     3700    0.015    0.000    0.267    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/threading.py:222(__init__)
    29800    0.265    0.000    0.265    0.000 {built-in method torch.minimum}
     3200    0.132    0.000    0.257    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/multiprocessing/process.py:61(_cleanup)
    19200    0.255    0.000    0.255    0.000 {method 'contiguous' of 'torch._C.TensorBase' objects}
     3201    0.252    0.000    0.252    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/threading.py:81(RLock)
    16800    0.023    0.000    0.251    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_tensor.py:960(__rsub__)
       10    0.000    0.000    0.246    0.025 /root/anaconda3/envs/accelergy/lib/python3.8/subprocess.py:736(__init__)
       10    0.001    0.000    0.245    0.024 /root/anaconda3/envs/accelergy/lib/python3.8/subprocess.py:1568(_execute_child)
    25600    0.243    0.000    0.243    0.000 {method 'all' of 'torch._C.TensorBase' objects}
   155200    0.194    0.000    0.242    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/storage.py:629(__init__)
      100    0.000    0.000    0.240    0.002 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/optim/optimizer.py:147(maybe_fallback)
      100    0.008    0.000    0.239    0.002 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/optim/adam.py:699(adam)
   156012    0.127    0.000    0.233    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/autograd/grad_mode.py:184(__init__)
19722/19297    0.056    0.000    0.230    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/copy.py:200(_deepcopy_list)
   345600    0.230    0.000    0.230    0.000 {built-in method torch._C._get_tracing_state}
    16800    0.228    0.000    0.228    0.000 {built-in method torch.rsub}
     4800    0.116    0.000    0.223    0.000 /root/project/Soter/transformer/Models.py:44(forward)
    77906    0.086    0.000    0.221    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/autograd/grad_mode.py:80(__enter__)
      100    0.004    0.000    0.221    0.002 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/optim/adam.py:440(_multi_tensor_adam)
    12800    0.041    0.000    0.219    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/distributions/utils.py:93(clamp_probs)
        1    0.000    0.000    0.213    0.213 /root/project/Soter/program_tuner.py:37(__init__)
        1    0.000    0.000    0.212    0.212 /root/project/Soter/transformer/Models.py:113(__init__)
      100    0.015    0.000    0.194    0.002 /root/project/Soter/cost_model.py:424(create_pool_env)
       10    0.001    0.000    0.194    0.019 /root/project/Soter/cost_model.py:535(write_config)
    16800    0.194    0.000    0.194    0.000 {built-in method torch.unbind}
      100    0.001    0.000    0.190    0.002 <__array_function__ internals>:177(stack)
    12800    0.189    0.000    0.189    0.000 {method 'gather' of 'torch._C.TensorBase' objects}
       31    0.000    0.000    0.189    0.006 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/__init__.py:248(dump)
       31    0.001    0.000    0.189    0.006 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/__init__.py:215(dump_all)
      100    0.003    0.000    0.188    0.002 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/numpy/core/shape_base.py:383(stack)
       31    0.000    0.000    0.187    0.006 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/representer.py:26(represent)
     3300    0.025    0.000    0.184    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/_weakrefset.py:81(add)
        1    0.000    0.000    0.181    0.181 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/exc.py:2(<module>)
      100    0.001    0.000    0.180    0.002 <__array_function__ internals>:177(concatenate)
        1    0.000    0.000    0.180    0.180 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/utils.py:2(<module>)
    12800    0.178    0.000    0.178    0.000 {method 'clamp' of 'torch._C.TensorBase' objects}
     2623    0.177    0.000    0.177    0.000 {built-in method _thread.allocate_lock}
    12800    0.175    0.000    0.175    0.000 {method 'abs' of 'torch._C.TensorBase' objects}
    77906    0.057    0.000    0.173    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/autograd/grad_mode.py:84(__exit__)
    12800    0.172    0.000    0.172    0.000 {built-in method torch.all}
    12800    0.050    0.000    0.170    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/functional.py:48(broadcast_tensors)
       31    0.000    0.000    0.169    0.005 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/serializer.py:46(serialize)
    16106    0.168    0.000    0.168    0.000 {built-in method torch.zeros_like}
    35400    0.168    0.000    0.168    0.000 {method 'long' of 'torch._C.TensorBase' objects}
      818    0.005    0.000    0.165    0.000 <frozen importlib._bootstrap_external>:909(get_code)
  4829/31    0.016    0.000    0.164    0.005 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/serializer.py:78(serialize_node)
        1    0.000    0.000    0.154    0.154 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/trace_rules.py:2(<module>)
     1381    0.121    0.000    0.150    0.000 {method 'to' of 'torch._C.TensorBase' objects}
   155200    0.124    0.000    0.150    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/storage.py:557(__new__)
       60    0.147    0.002    0.147    0.002 {built-in method posix.read}
        1    0.000    0.000    0.146    0.146 /root/project/Soter/transformer/Models.py:51(__init__)
    19260    0.115    0.000    0.145    0.000 /root/project/Soter/cost_model.py:389(get_tp_sp_tile_size)
